date,Daily_Average_EffEX,Nonzero_DNI_Hours,Daily_Mean_DNI,Daily_Max_DNI,month,Daily_Average_EffEX_7day_Rolling
2023-01-01,41.09418258666992,10,579.892,875.65,2023-01,41.09418258666992
2023-01-02,40.33651457892524,9,569.3855555555556,863.07,2023-01,40.71534858279758
2023-01-03,43.669474283854164,9,663.6477777777777,807.76,2023-01,41.700057149816445
2023-01-04,42.132012939453126,10,614.654,834.03,2023-01,41.80804609722561
2023-01-05,42.99634780883789,10,623.4449999999999,859.2,2023-01,42.04570643954807
2023-01-06,42.11223687065972,9,609.4433333333333,888.86,2023-01,42.05679484473334
2023-01-07,35.1560788835798,7,373.82428571428574,807.6,2023-01,41.07097827885427
2023-01-08,38.88056310017904,9,407.5377777777778,764.96,2023-01,40.754746923641285
2023-01-09,43.52422756618924,9,668.4288888888889,848.61,2023-01,41.21013449325043
2023-01-10,40.47104759216309,10,532.1,796.55,2023-01,40.75321639443741
2023-01-11,43.259390936957466,9,658.18,838.95,2023-01,40.914270394080894
2023-01-12,41.34182968139648,10,583.0,843.84,2023-01,40.67791066158926
2023-01-13,32.4127299785614,8,230.76375,711.4,2023-01,39.29226681986093
2023-01-14,38.174749755859374,10,506.71999999999997,830.76,2023-01,39.72350551590087
2023-01-15,39.56418079800076,9,449.51666666666665,829.33,2023-01,39.82116518701826
2023-01-16,43.48547108968099,9,661.1488888888889,834.62,2023-01,39.81562854751708
2023-01-17,42.016371726989746,10,603.214,826.25,2023-01,40.03638913820661
2023-01-18,43.24773915608724,9,579.9477777777778,737.07,2023-01,40.034724598082285
2023-01-19,43.50679143269857,9,628.5788888888889,834.47,2023-01,40.3440048482683
2023-01-20,44.060209062364365,9,685.2988888888889,829.76,2023-01,42.007930431668726
2023-01-21,41.553209495544436,10,584.463,813.57,2023-01,42.490567537338016
2023-01-22,42.06520023345947,10,605.183,810.86,2023-01,42.84785602811784
2023-01-23,32.391477266947426,6,240.45833333333334,732.05,2023-01,41.262999767727315
2023-01-24,41.7079291873508,9,635.3955555555556,832.96,2023-01,41.2189365477789
2023-01-25,35.52303123474121,8,293.40875,653.54,2023-01,40.11540684472947
2023-01-26,31.63424301147461,4,175.83749999999998,365.78,2023-01,38.419328498840336
2023-01-27,42.820231914520264,8,549.93875,828.98,2023-01,38.242188906291176
2023-01-28,39.86935520172119,8,512.0375,918.25,2023-01,38.00163829288785
2023-01-29,42.23017406463623,10,676.283,918.17,2023-01,38.02520598305596
2023-01-30,42.40583477020264,10,691.632,933.01,2023-01,39.45582848352099
2023-01-31,43.02446975708008,10,684.9100000000001,875.94,2023-01,39.643905707768035
2023-02-01,43.638087844848634,10,648.338,804.93,2023-02,40.80319950921195
2023-02-02,42.74513607025146,10,640.491,835.88,2023-02,42.39046994618007
2023-02-03,42.04123649597168,10,631.4060000000001,828.21,2023-02,42.27918488638742
2023-02-04,41.39573783874512,10,601.0699999999999,835.05,2023-02,42.4972395488194
2023-02-05,43.17699966430664,10,655.513,871.92,2023-02,42.632500348772325
2023-02-06,42.45600933498807,9,605.4966666666667,809.37,2023-02,42.639668143741666
2023-02-07,42.35748023986817,10,638.631,839.49,2023-02,42.544383926997114
2023-02-08,43.5758731842041,10,659.1569999999999,812.48,2023-02,42.535496118333604
2023-02-09,43.476235961914064,10,635.604,829.42,2023-02,42.63993895999969
2023-02-10,44.31100654602051,10,711.141,884.6,2023-02,42.96419182429237
2023-02-11,44.12395401000977,10,706.6479999999999,881.1,2023-02,43.3539369916159
2023-02-12,41.45476188659668,10,639.033,845.51,2023-02,43.10790302337163
2023-02-13,43.873501205444335,10,712.824,859.44,2023-02,43.310401862008234
2023-02-14,43.3016056060791,10,697.8689999999999,861.91,2023-02,43.44527691432408
2023-02-15,42.10631046295166,10,649.6890000000001,834.33,2023-02,43.23533938271659
2023-02-16,43.902367401123044,10,727.589,868.0,2023-02,43.29621530260358
2023-02-17,44.1402210659451,9,735.3833333333333,924.91,2023-02,43.27181737687852
2023-02-18,44.271331024169925,10,718.439,944.29,2023-02,43.29287123604426
2023-02-19,43.98550643920898,10,696.8770000000001,877.46,2023-02,43.654406172131736
2023-02-20,44.47021993001302,9,735.8044444444445,925.09,2023-02,43.739651704212974
2023-02-21,43.380428314208984,10,672.289,877.55,2023-02,43.75091209108867
2023-02-22,43.892320251464845,10,721.421,890.28,2023-02,44.00605634659055
2023-02-23,43.931705474853516,10,724.618,893.68,2023-02,44.01024749998062
2023-02-24,44.128374099731445,10,750.895,894.65,2023-02,44.008555076235815
